Date,Open,High,Low,Close,Adj Close,Volume
2012-09-20,649.911987,660.5,638.661987,653.888,489.694611,300072
2012-09-21,654.987,662.161987,646.875,648.661987,485.780792,389592
2012-09-24,648.661987,652,643.75,650.099976,486.857758,224112
2012-09-25,647.25,652.5,647,649.013,486.043701,169152
2012-09-26,645.536987,649.724976,642.25,646.700012,484.311493,166168
2012-09-27,647.75,650,633.263,637.174988,477.178284,223980
2012-09-28,642.25,644.75,632.049988,633.5,474.426025,265484
2012-10-01,637.025024,655,637.025024,652.275024,488.486572,286068
2012-10-03,652.275024,654.75,640.562012,644.638,482.767273,299460
2012-10-04,642.786987,648.362,639.312012,643.849976,482.177185,321540
2012-10-05,643,646,591.599976,631.974976,473.283905,379048
2012-10-08,631,635.75,619.062012,622.724976,466.35672,414676
2012-10-09,625.562012,637,621.013,634.237,474.977997,291136
2012-10-10,627,631.924988,623,626.062012,468.855774,269096
2012-10-11,622.875,644.237,620.5,632.862,473.948273,752416
2012-10-12,587.5,611.700012,579.25,598.911987,448.523224,5486312
2012-10-15,596.5,603.388,588.75,591.424988,442.916229,982840
2012-10-16,593,597.25,586.75,588.612,440.80957,600732
2012-10-17,592.75,594.437988,589.275024,591.937988,443.300385,285208
2012-10-18,591.75,598.388,586.25,593.950012,456.371857,500600
2012-10-19,594.062012,598.950012,592.013,595.825012,457.812561,569248
2012-10-22,593.75,599.575012,592.513,596.549988,458.369629,300740
2012-10-23,591.5,594.424988,586.661987,588.075012,451.857758,813744
2012-10-25,588.075012,588.75,582.911987,586.237,450.445496,1211128
2012-10-29,584.5,585.75,576.924988,583.575012,448.400085,483708
2012-10-30,581.75,591.237,581.75,589.338013,452.828217,299004
2012-10-31,585.799988,593.5,585.799988,590.875,454.009155,573520
2012-11-01,590,591.25,585.362,590.700012,453.874664,201132
2012-11-02,591.224976,601.088013,591.224976,597.286987,458.935883,344064
2012-11-05,595.049988,598.5,592.5,594.674988,456.928986,185664
2012-11-06,595,601.487,593,595.974976,457.927765,1544448
2012-11-07,595.5,603.099976,593.911987,599.799988,460.866852,190844
2012-11-08,594,595.75,591.125,593.700012,456.17981,233204
2012-11-09,591.25,591.25,586.275024,587.286987,451.252258,208636
2012-11-12,588.75,592,583.775024,590.099976,453.413666,1788736
2012-11-15,589.25,590.838013,569.724976,573.525024,440.67804,373948
2012-11-16,575,596.463013,572.75,585.463013,449.8508,444532
2012-11-19,586.5,594.900024,584.437988,589.974976,453.317596,249608
2012-11-20,593.25,593.474976,578.700012,581.349976,446.690399,270224
2012-11-21,582.5,591.25,580.400024,587.088013,451.099304,217672
2012-11-22,587.5,598.25,583.911987,596.187988,458.091492,302760
2012-11-23,593.75,599.638,589.150024,594,456.410309,194348
2012-11-26,597.525024,605,597.525024,604.150024,464.209198,171772
2012-11-27,605.013,619.25,604.150024,617.286987,474.303284,383736
2012-11-29,617.286987,617.286987,606.411987,611.213013,469.63623,217356
2012-11-30,611.25,618.763,606.525024,609.150024,468.051147,203064
2012-12-03,610.5,613.25,605.838013,609,467.935883,161792
2012-12-04,607.5,611.25,604,607.325012,466.648804,148092
2012-12-05,606.25,606.987,592.25,595.575012,457.620544,538452
2012-12-06,597.075012,599.5,578.875,584.625,449.206848,568668
2012-12-07,583.75,587.463013,577.75,579.924988,445.595581,463876
2012-12-10,577.75,586.125,574.5,577.400024,443.655426,363808
2012-12-11,579.5,584,571.025024,573.525024,440.67804,372020
2012-12-12,576.263,580.75,571.75,574.724976,441.600037,622468
