time,date,,News Headlines
1.31 pm , 10-04-2010,Moneycontrol.com,Infosys Mar qtr PAT seen at Rs 1616.90 cr: Emkay  
11.10 am , 10-04-2010,CNBC-TV18,Wait for Infosys numbers: Joshi  
9.44 am , 10-04-2010,CNBC-TV18,Infosys has support at Rs 2600: Gujral  
4.00 pm , 09-04-2010,Reuters,IT firms to report rise in demand  eye on rupee 
3.02 pm , 08-04-2010,CNBC-TV18,"Infosys Q4 PAT seen up 2% to Rs 1,613 cr: Angel  "
5.57 pm , 07-04-2010,CNBC-TV18,Sell tech stocks on rally: Sukhani  
10.43 am , 07-04-2010,CNBC-TV18,Upside capped in Infosys Technologies: Thacker  
8.48 pm , 05-04-2010,CNBC-TV18,What is India Inc expecting from Timothy Geithner's visit?  
2.49 pm , 05-04-2010,Moneycontrol.com,Infosys Q4 net profit seen up 1.6% at Rs 1608 cr  
12.41 pm , 05-04-2010,Moneycontrol.com,Bharti may outsource Africa ops to IT vendors: Sources  
1.04 pm , 03-04-2010,CNBC-TV18,Infosys can go upto Rs 2850 in medium term: Mukadam  
1.02 pm , 03-04-2010,CNBC-TV18,Infosys may slip to Rs 2400-2500: Sukhani  
5.41 pm , 31-03-2010,CNBC-TV18,Infosys Tech has support at Rs 2400: Sukhani  
4.13 pm , 31-03-2010,Moneycontrol.com,"Buy Infosys, Wipro: Prabhudas Lilladher  "
10.32 am , 15-04-2010,CNBC-TV18,Exit Infosys Technologies on upside: Baliga  
7.54 am , 14-04-2010,Reuters,"Infosys bets on tech spending, flags currency risk  "
7.53 am , 14-04-2010,Reuters,Infosys to manage Microsoft's internal IT services  
5.52 pm , 13-04-2010,CNBC-TV18,Infosys has strong support at Rs 2630: Gujral  
3.08 pm , 13-04-2010,CNBC-TV18,"Bullish on Infosys, target of Rs 2930: Anand Rathi  "
2.47 pm , 13-04-2010,CNBC-TV18,"Excl: Infosys management on Q4 numbers, road ahead  "
1.48 pm , 13-04-2010,Moneycontrol.com,Moneycontrol Poll: Should you buy Infosys stock now?  
1.43 pm , 13-04-2010,CNBC-TV18,"Stay invested in Infosys, says Mehraboon Irani  "
1.31 pm , 13-04-2010,CNBC-TV18,Infosys has support at Rs 2620: Mohindar  
12.59 pm , 13-04-2010,Moneycontrol.com,Infosys declares final dividend of Rs 15/sh for FY10  
12.19 pm , 13-04-2010,CNBC-TV18,Infy to hike wages across board  mid-lower to benefit most 
12.13 pm , 13-04-2010,CNBC-TV18,Uncertainty high in Q4 due to budget allocations: Infosys    
11.59 am , 13-04-2010,CNBC-TV18,Growth to be evenly spread out in Q1-Q3 FY11: Infosys  
11.49 am , 13-04-2010,CNBC-TV18,See Infosys' FY11 EPS at Rs 124: Kotak Institutional Eq  
11.40 am , 13-04-2010,CNBC-TV18,Appreciating Re to hit FY11 margins by 150 bps: Infosys  
11.27 am , 13-04-2010,CNBC-TV18,"Infosys won't outperform going forward, says Sanju Verma  "
10.36 am , 13-04-2010,Moneycontrol.com,Infy's muted FY11 EPS guidance leaves experts disappointed  
10.08 am , 13-04-2010,CNBC-TV18,Infosys an under performer: Nilesh Shah  
9.59 am , 13-04-2010,CNBC-TV18,"Infosys rev good, but EPS looks muted: Envision Capital  "
9.51 am , 13-04-2010,Reuters,Infosys sees 2010/11 sales rising 16-18%  
10.22 am , 22-06-2010,CNBC-TV18,Short Infosys Technologies at Rs 2800-2810: Bhamre  
4.20 pm , 17-06-2010,Moneycontrol.com,Infosys Tech may touch Rs 2790-2800: Gujral  
1.23 pm , 17-06-2010,CNBC-TV18,Europe remains a cause for concern: Infosys  
4.48 pm , 16-06-2010,Moneycontrol.com,"Buy Infosys, target Rs 3100: PINC Research  "
11.42 am , 14-06-2010,CNBC-TV18,Infosys changes iRace norms  to promote 8500 employees 
12.04 pm , 10-06-2010,Reuters,Infosys BPO unit sees FY11 revenue up 15-20%  
10.20 pm , 03-06-2010,CNBC-TV18,Eurozone crisis has not impacted biz: Infosys  
1.27 pm , 27-05-2010,CNBC-TV18,Mphasis has strong support at Rs 600: Gujral  
7.00 pm , 18-05-2010,CNBC-TV18,"Infosys, Wipro may perform good in 3-6 month view: Mohindar  "
2.30 pm , 10-05-2010,CNBC-TV18,Prefer Infosys Technologies to Wipro: Girish Patil  
10.24 am , 10-05-2010,CNBC-TV18,Infosys Tech has support at Rs 2600: Sukhani  
8.05 pm , 07-05-2010,Reuters,S&P  rating on Infosys to 'BBB+'  outlook stable
8.58 am , 05-05-2010,Reuters,Cognizant to hire aggressively this year: CEO  
4.23 pm , 03-05-2010,Moneycontrol.com,UIDAI invites bids for second project at Rs 145 crore  
3.00 pm , 21-04-2010,Moneycontrol.com,Hold Infosys Tech  target of Rs 3100: Bonanza 
12.52 pm , 17-04-2010,CNBC-TV18,Infosys Tech can touch Rs 3200-3500: Irani  
10.47 am , 17-04-2010,Moneycontrol.com,Infosys Tech can go upto Rs 2920 in short term: Mohindar  
3.49 pm , 16-04-2010,CNBC-TV18,Irani overweight on IT space  
5.39 pm , 15-04-2010,CNBC-TV18,Rahul Mohindar positive on large-cap IT  
11.28 am , 15-04-2010,Moneycontrol.com,Accumulate Infosys  target of Rs 3200: Emkay 
11.17 am , 13-07-2010,Moneycontrol.com,Sore points for Infosys in coming quarters  
10.21 am , 13-07-2010,CNBC-TV18,Infosys has resistance at Rs 2800: Bhamre  
9.51 am , 13-07-2010,CNBC-TV18,Infosys has support at Rs 2800: Sukhani  
9.40 am , 13-07-2010,CNBC-TV18,Upside capped in Infosys Technologies: Nilesh Shah  
8.33 am , 13-07-2010,Moneycontrol.com,Infosys Q1 net profit down 8% to Rs 1488 cr (QoQ)  
8.05 pm , 12-07-2010,Moneycontrol.com,How will Infosys fair in Q1FY11?  
6.42 pm , 12-07-2010,CNBC-TV18,"Irani bullish on Infosys, TCS  "
12.29 pm , 12-07-2010,Moneycontrol.com,Infosys Q1 net sales seen at Rs 6213.94 cr  
8.22 am , 12-07-2010,CNBC-TV18,Infosys Q1 net profit seen down at Rs 1564.47 cr  
5.07 pm , 10-07-2010,Moneycontrol.com,Infosys Jun qtr PAT seen down Rs 1542 cr: Sharekhan  
4.50 pm , 10-07-2010,Moneycontrol.com,Infosys Jun qtr PAT seen up 3% at Rs 1618.4 cr  
3.40 pm , 09-07-2010,CNBC-TV18,Infosys Technologies can test Rs 3000: Kulkarni  
3.08 pm , 09-07-2010,CNBC-TV18,"Infosys: Net profit can fall 7%, EPS upgrade likely  "
1.59 pm , 09-07-2010,Moneycontrol.com,Infosys a market performer  tgt of Rs 3025: Karvy 
10.00 pm , 06-07-2010,CNBC-TV18,Tata backs hefty pay at TCS   
12.58 pm , 06-07-2010,Moneycontrol.com,Infosys Jun qtr seen up 7% at Rs 1587 cr: M Oswal   
6.13 pm , 01-07-2010,CNBC-TV18,Infosys has key support at Rs 2550-2600: Gujral  
1.05 pm , 01-07-2010,Moneycontrol.com,Infosys Jun qtr PAT seen down 8.5% at Rs 1464  
10.56 am , 29-06-2010,CNBC-TV18,Infosys has resistance at Rs 2800: Bhamre  
4.21 pm , 25-06-2010,CNBC-TV18,"Hold Infosys, may touch Rs 3000: Kulkarni  "
1.50 pm , 17-09-2010,Moneycontrol.com,Infy to hire 36000 employees this year: Mohandas Pai  
6.45 pm , 15-09-2010,CNBC-TV18,Buy Infosys on decline: Deven Choksey  
8.18 pm , 13-09-2010,Reuters,"Wipro, Infosys see cautious spending on IT  "
8.18 pm , 13-09-2010,Reuters,Infosys looks to diversify revenue away from US  
6.28 pm , 08-09-2010,CNBC-TV18,Ohio�s ban of foriegn IT contract negative for India  
10.36 am , 08-09-2010,CNBC-TV18,Buy Infosys Technologies 2900 call: VK Sharma  
2.53 pm , 31-08-2010,CNBC-TV18,GST likely to offer IT deals worth Rs 2000 crore  
8.54 am , 31-08-2010,CNBC-TV18,Infosys may slip to Rs 2600-2500: Thacker  
4.31 pm , 30-08-2010,CNBC-TV18,Buy Infosys at around Rs 2550: Gujral  
2.18 pm , 27-08-2010,CNBC-TV18,Hike in visa cost manageabe for IT cos: Cowen & Co   
9.49 pm , 26-08-2010,Moneycontrol.com,"BT cuts FY11 IT budget; will impact Infy, Tech Mah: Sources  "
11.38 am , 26-08-2010,CNBC-TV18,BT to cut global IT budget by 50%  Indian IT cos to hit  
2.51 pm , 23-08-2010,CNBC-TV18,BCG to launch IT deal worth $300-400 mn  4 cos contending 
9.38 am , 17-08-2010,CNBC-TV18,Infosys may slip to Rs 2620-2630: Sukhani  
2.53 pm , 11-08-2010,CNBC-TV18,Infosys has support around Rs 2750: Kulkarni  
9.54 am , 11-08-2010,Reuters,India protests discriminatory US immigration bill  
5.42 pm , 10-08-2010,Moneycontrol.com,"Infosys Tech, DLF may see 3-4% rally: Mohindar  "
11.46 am , 10-08-2010,Reuters,Infosys CEO sees US visa costs passed to customers  
2.43 pm , 09-08-2010,Moneycontrol.com,Citigroup may hike IT budgets to $1.1bn for FY11: Sources  
10.12 am , 09-08-2010,Reuters,Infosys to search for Murthy`s successor: Report  
9.44 am , 15-10-2010,CNBC-TV18,Infosys has support at Rs 3120: Vora  
8.35 am , 15-10-2010,Moneycontrol.com,"Infy Q2 net jumps 16.7%, ups FY11 EPS to Rs 115.07-117.07  "
10.45 pm , 14-10-2010,Moneycontrol.com,Will tech majors deliver in second quarter?  
5.28 pm , 14-10-2010,CNBC-TV18,Infosys Q2 net profit seen up 15.46% to Rs 1718.11 cr  
10.59 am , 14-10-2010,CNBC-TV18,Infosys Sept quarter rev likely to grow 7.5%: IIFL  
6.54 pm , 13-10-2010,CNBC-TV18,IT stocks look good: Kapadia  
5.51 pm , 13-10-2010,CNBC-TV18,Hold IT stocks: Choksey  
2.14 pm , 13-10-2010,CNBC-TV18,Infosys Technologies can touch Rs 3500: Jain  
6.01 pm , 11-10-2010,CNBC-TV18,Expect good results from IT companies: Seth  
5.58 pm , 06-10-2010,Moneycontrol.com,Infosys Sept PAT seen up 12.5% at Rs 1673 cr: MOST  
2.53 pm , 05-10-2010,CNBC-TV18,Infosys looks overvalued: Radhika Gupta  
2.04 pm , 05-10-2010,Moneycontrol.com,Infosys Sept PAT seen up 14% at Rs 1692 cr: Angel  
10.31 pm , 29-09-2010,Reuters,Realty firms sees firm IT sector demand  
9.59 pm , 29-09-2010,CNBC-TV18,Mah Satyam's EBITDA margins a concern: Sanju Verma  
5.16 pm , 29-09-2010,CNBC-TV18,IT companies looking strong: Seth  
4.17 pm , 29-09-2010,Reuters,India IT firms seek buys to boost growth  
6.37 pm , 27-09-2010,CNBC-TV18,Big IT should not exceed 10% of portfolio: Raamdeo Agrawal  
9.08 am , 27-09-2010,CNBC-TV18,Infosys a best opportunity in IT space: Sukhani  
9.27 am , 21-09-2010,CNBC-TV18,Expect rally to continue in Infosys: Sukhani  
4.20 pm , 18-09-2010,CNBC-TV18,Risk of double dip recession is real: Baring India  
2.29 pm , 18-10-2010,Moneycontrol.com,Accumulate Infosys Tech: Emkay Global Financial Services  
1.53 pm , 18-10-2010,Moneycontrol.com,Buy Infosys Tech  target of Rs 3500: Prabhudas Lilladher 
1.22 pm , 18-10-2010,CNBC-TV18,Expect Infosys to touch Rs 3500-mark: Prabhudas Lilladher  
1.16 pm , 18-10-2010,Moneycontrol.com,Angel Broking neutral on Infosys Technologies  
12.54 pm , 18-10-2010,Moneycontrol.com,Sushil Finance neutral on Infosys Technologies  
12.20 pm , 18-10-2010,Moneycontrol.com,Infosys Tech a market performer: Karvy Stock Broking  
11.45 am , 18-10-2010,CNBC-TV18,Infosys may go down further: VK Sharma  
12.44 pm , 16-10-2010,Moneycontrol.com,Hold Infosys Technologies  target of Rs 3125: Nirmal Bang 
12.31 pm , 16-10-2010,Moneycontrol.com,Buy Infosys Technologies  target of Rs 3500: PINC Research 
8.50 pm , 15-10-2010,CNBC-TV18,OPM may contract by 100-130 bps on currency headwinds: Infy  
3.42 pm , 15-10-2010,Moneycontrol.com,Buy Infosys  target of Rs 3250: Prabhudas Lilladher 
3.00 pm , 15-10-2010,CNBC-TV18,Infosys has support at Rs 3060: Thacker  
2.27 pm , 15-10-2010,CNBC-TV18,Buy Infosys on dips: Prakash Diwan  
1.37 pm , 15-10-2010,CNBC-TV18/Mint,Hold Infosys Technologies: Vivek Mavani  
1.34 pm , 15-10-2010,Moneycontrol.com,Infosys Technologies declares dividend at 10%  
1.23 pm , 15-10-2010,Moneycontrol.com,Iconic Murthy retires as Infy chairman next yr: What next?  
1.10 pm , 15-10-2010,CNBC-TV18,"Infy says attrition rate dipping, changes promotion policy   "
10.43 am , 15-10-2010,CNBC-TV18,IDFC sees 20% return from Infy in next 6 months  
10.00 am , 15-10-2010,CNBC-TV18,Pick Infosys Technologies: Sharma  
9.49 am , 15-10-2010,CNBC-TV18,Nilesh Shah expects Infosys results to cheer up market   
11.58 am , 29-11-2010,Moneycontrol.com,Buy Infosys Technologies  target of Rs 3135: IIFL 
11.37 am , 29-11-2010,CNBC-TV18,Infosys can move upto Rs 3230: Thukral  
1.52 pm , 26-11-2010,Moneycontrol.com,Opportunities in Adversity: PINC Research  
10.50 am , 26-11-2010,CNBC-TV18,"Buy Infosys, says Gujral  "
8.47 am , 26-11-2010,CNBC-TV18,Infosys has target of Rs 3075: Rajesh Jain  
2.59 pm , 09-11-2010,Reuters,Infosys CEO says seeking to expand in South Korea  
9.36 pm , 02-11-2010,CNBC-TV18,Obama & India Inc: What are industry's top priorities?  
10.15 pm , 01-11-2010,CNBC-TV18,What Narayana Murthy expects from Obama's India visit  
1.23 pm , 26-10-2010,Reuters,Client sentiment less positive in Europe: Infosys  
11.09 am , 26-10-2010,CNBC-TV18,Short Infosys: Siddharth Bhamre  
9.46 pm , 25-10-2010,CNBC-TV18,Indian IT firms should be seen as value creator: Murthy   
1.17 pm , 22-10-2010,CNBC-TV18,Kotak Sec ups EPS estimate for TCS by 2.5% for FY12  
11.00 am , 22-10-2010,CNBC-TV18,"Forex volatility, wage hike impacted margin: Wipro  "
3.07 pm , 20-10-2010,Moneycontrol.com,Buy Infosys Tech  target of Rs 3463: Firstcall Research 
10.26 am , 20-10-2010,CNBC-TV18,Buy Infosys around Rs 2750-2800: Gujral  
5.04 pm , 19-10-2010,CNBC-TV18,Infosys Technologies has support at Rs 3036-3037: Kapadia  
2.52 pm , 19-10-2010,Moneycontrol.com,Buy Infosys Technologies  target of Rs 3366: Motilal Oswal 
1.54 pm , 19-10-2010,Moneycontrol.com,Hold Infosys  target of Rs 3150: Anand Rathi Securities 
5.14 pm , 18-10-2010,CNBC-TV18,"Singal positive on Infosys Tech, Tata Consultancy Services  "
4.12 pm , 18-10-2010,Moneycontrol.com,Buy Infosys Technologies  target of Rs 3362: IIFL 
1.56 pm , 24-12-2009,CNBC-TV18,Short Infosys Technologies: Ajit Surana  
10.18 am , 24-12-2009,CNBC-TV18,"Buy Infosys Technologies, says Ashwani Gujral  "
4.27 pm , 23-12-2009,Moneycontrol.com,"Bhambwani positive on Infosys, TCS  "
5.16 pm , 22-12-2009,CNBC-TV18,"Mohindar positive on metals, IT, banking  "
1.26 pm , 22-12-2009,CNBC-TV18,Infosys has target of Rs 2600: Daryl Guppy  
2.24 pm , 21-12-2009,Moneycontrol.com,VC fund to be active by March 2010: Narayana Murthy  
11.46 am , 19-12-2009,Moneycontrol.com,"Buy Infosys, target of Rs 3020: Angel Broking  "
4.59 pm , 18-12-2009,CNBC-TV18,Heavyweights look weak barring IT stocks: Thacker  
7.41 pm , 17-12-2009,CNBC-TV18,Strengthening rupee may hurt IT stocks in Q4: Choksey  
2.58 pm , 17-12-2009,CNBC-TV18,Buy Infosys Tech  target of Rs 3020: Angel 
2.00 pm , 16-12-2009,Reuters,Infosys sees better revenue growth in FY11  
7.04 am , 12-12-2009,Reuters,Infosys sets up US unit to bid for govt deals  
2.08 pm , 09-12-2009,Moneycontrol.com,Infosys a market performer  target of Rs 2517: Karvy 
3.00 pm , 07-12-2009,CNBC-TV18,See pricing at current levels for some time: Infosys  
1.00 pm , 04-12-2009,Reuters,Infosys to boost 4 business segments revenue  
11.31 am , 04-12-2009,Reuters,Infosys among 3 IT vendors picked by Wal-Mart  
12.13 pm , 03-12-2009,CNBC-TV18,"Recovery in sight, clients more confident: Infosys  "
6.11 pm , 01-12-2009,Moneycontrol.com,Infosys has target of Rs 2500-2550: Rahul Mohindar  
12.33 pm , 01-12-2009,CNBC-TV18,"TCS, Wipro, Infy in fray for Goldman Sachs' $700m IT deal  "
12.07 pm , 26-11-2009,Reuters,Infosys backoffice services unit's executive quits  
1.56 pm , 24-12-2009,CNBC-TV18,Short Infosys Technologies: Ajit Surana  
10.18 am , 24-12-2009,CNBC-TV18,"Buy Infosys Technologies, says Ashwani Gujral  "
4.27 pm , 23-12-2009,Moneycontrol.com,"Bhambwani positive on Infosys, TCS  "
5.16 pm , 22-12-2009,CNBC-TV18,"Mohindar positive on metals, IT, banking  "
1.26 pm , 22-12-2009,CNBC-TV18,Infosys has target of Rs 2600: Daryl Guppy  
2.24 pm , 21-12-2009,Moneycontrol.com,VC fund to be active by March 2010: Narayana Murthy  
11.46 am , 19-12-2009,Moneycontrol.com,"Buy Infosys, target of Rs 3020: Angel Broking  "
4.59 pm , 18-12-2009,CNBC-TV18,Heavyweights look weak barring IT stocks: Thacker  
7.41 pm , 17-12-2009,CNBC-TV18,Strengthening rupee may hurt IT stocks in Q4: Choksey  
2.58 pm , 17-12-2009,CNBC-TV18,Buy Infosys Tech  target of Rs 3020: Angel 
2.00 pm , 16-12-2009,Reuters,Infosys sees better revenue growth in FY11  
7.04 am , 12-12-2009,Reuters,Infosys sets up US unit to bid for govt deals  
2.08 pm , 09-12-2009,Moneycontrol.com,Infosys a market performer  target of Rs 2517: Karvy 
3.00 pm , 07-12-2009,CNBC-TV18,See pricing at current levels for some time: Infosys  
1.00 pm , 04-12-2009,Reuters,Infosys to boost 4 business segments revenue  
11.31 am , 04-12-2009,Reuters,Infosys among 3 IT vendors picked by Wal-Mart  
12.13 pm , 03-12-2009,CNBC-TV18,"Recovery in sight, clients more confident: Infosys  "
6.11 pm , 01-12-2009,Moneycontrol.com,Infosys has target of Rs 2500-2550: Rahul Mohindar  
12.33 pm , 01-12-2009,CNBC-TV18,"TCS, Wipro, Infy in fray for Goldman Sachs' $700m IT deal  "
12.07 pm , 26-11-2009,Reuters,Infosys backoffice services unit's executive quits  
11.59 am , 12-01-2011,CNBC-TV18,Q3 results: What is IIFL expecting from the IT bellwether?  
5.04 pm , 11-01-2011,CNBC-TV18,Infosys has support at Rs 3200: Manghnani  
4.30 pm , 11-01-2011,CNBC-TV18,How will Q3 fare for the IT pack? Bhavin Shah explains  
12.00 pm , 11-01-2011,CNBC-TV18,See Infosys dollar growth at 7.5%: Kotak Sec  
5.39 pm , 10-01-2011,Moneycontrol.com,Infosys Dec qtr PAT seen up 4.5% at Rs 1815 cr: Angel  
1.55 pm , 10-01-2011,CNBC-TV18,Avoid Infosys: Thacker  
2.12 pm , 08-01-2011,CNBC-TV18,Infosys Dec qtr PAT seen up 5% at Rs 1812 cr: PLilladher  
2.40 pm , 07-01-2011,CNBC-TV18,Experts debate: How will IT co's fare this earnings season?  
12.02 pm , 07-01-2011,Moneycontrol.com,Infosys Dec qtr PAT seen up 5.6% at Rs 1834 cr: Karvy  
2.01 pm , 06-01-2011,Moneycontrol.com,Infosys Dec qtr PAT seen up 4% at Rs 1809 cr: KRChoksey  
11.17 am , 05-01-2011,Reuters,BofA Merrill upgrades Infosys to buy  
6.00 pm , 03-01-2011,CNBC-TV18,Buy Infosys: Bhambwani  
11.39 am , 14-01-2011,Moneycontrol.com,Accumulate Infosys Tech  target of Rs 3605: Angel Broking 
11.31 am , 14-01-2011,Moneycontrol.com,Buy Infosys Tech  target of Rs 4200: Prabhudas Lilladher 
11.25 am , 14-01-2011,CNBC-TV18,Buy Infosys Technologies on dip: Kapoor  
11.21 am , 14-01-2011,Moneycontrol.com,Hold Infosys Technologies  target of Rs 3208: Nirmal Bang 
11.08 am , 14-01-2011,Moneycontrol.com,Accumulate Infosys Tech  target of Rs 3400: Emkay 
10.58 am , 14-01-2011,Moneycontrol.com,Hold Infosys Technologies  target of Rs 3298: KRChoksey 
4.24 pm , 13-01-2011,CNBC-TV18,Short Infosys: Radhika Gupta  
3.58 pm , 13-01-2011,CNBC-TV18,Infosys has strong support at Rs 3120-3150: Bhamre  
3.15 pm , 13-01-2011,CNBC-TV18,Infosys could slip to about Rs 3140-3150: Jatinder Sharma  
2.43 pm , 13-01-2011,CNBC-TV18,"Infy price target at Rs 3560, may revise it upwards: Angel  "
1.43 pm , 13-01-2011,CNBC-TV18,Buy Infosys Technologies: Angel Stock Broking  
12.36 pm , 13-01-2011,CNBC-TV18,See sequential growth of 2% in Q4: Infosys  
11.59 am , 13-01-2011,Reuters,"Infosys Q3 upsets, economic worries hit outlook: Experts  "
10.53 am , 13-01-2011,CNBC-TV18,Infosys Technologies has support at Rs 3162: Anu Jain  
10.28 am , 13-01-2011,CNBC-TV18,Infy headcount additions to be strong in FY12: Cowen & Co  
9.56 am , 13-01-2011,CNBC-TV18,Infosys Tech has target of Rs 3500: Jain  
8.46 am , 13-01-2011,Moneycontrol.com,Infosys Q3 net profit up 2.5% at Rs 1780 cr  
8.12 am , 13-01-2011,CNBC-TV18,Bull's Eye: Stocks to buy today  
10.55 pm , 12-01-2011,Moneycontrol.com,Infosys Q3 net profit seen up 4.5% at Rs 1814.69 cr  
6.30 pm , 12-01-2011,Moneycontrol.com,Infy Q3 nos tomorrow: What do experts forsee?  
9.00 am , 18-02-2011,PTI,ICT will transform country's future: Narayana Murthy  
7.33 pm , 17-02-2011,Moneycontrol.com,Infosys Tech expands operations in Thiruvananthapuram  
2.14 pm , 17-02-2011,Moneycontrol.com,Infosys expands operations in Thiruvananthapuram  
7.59 pm , 10-02-2011,CNBC-TV18,Would consider restructuring if clients demand it: HCL Tech  
9.21 am , 08-02-2011,CNBC-TV18,"Large deals back on the table, says Infosys  "
2.16 pm , 04-02-2011,CNBC-TV19,Shibulal maybe Infosys next CEO  
11.09 am , 02-02-2011,Reuters,New CEO likely for Infosys in April  
10.50 am , 29-01-2011,Reuters,Top India IT outsourcers worry about Euro debt: Davos  
5.26 pm , 28-01-2011,CNBC-TV18,"Short Infosys, says Mitesh Thacker  "
2.01 pm , 28-01-2011,Moneycontrol.com,Sell Infosys  target of Rs 3075-3050: Aditya Birla Money 
1.47 pm , 28-01-2011,Reuters,Infosys seeks selective M&As  
11.09 am , 24-01-2011,CNBC-TV18,How is JPMorgan reading Q3 nos of tech majors?  
11.55 am , 22-01-2011,Reuters,Wipro IT chiefs quit  profit lags rivals   
3.53 pm , 18-01-2011,CNBC-TV18,"Angel Broking positive on Infosys, TCS  "
12.57 pm , 18-01-2011,CNBC-TV18,How is Antique Broking reading TCS' Dec results?  
12.15 pm , 18-01-2011,Reuters,Infosys to appeal tax demand on onshore work  
10.45 am , 18-01-2011,CNBC-TV18,TCS beats Infy in Q3  expects 2011 to be better than 2010   
7.31 pm , 14-01-2011,Moneycontrol.com,Hold Infosys  target of Rs 3520: Anand Rathi Securities 
6.07 pm , 14-01-2011,Moneycontrol.com,Buy Infosys Technologies  target of Rs 3664: Motilal Oswal 
11.50 am , 14-01-2011,Moneycontrol.com,Buy Infosys Tech  target of Rs 3750: PINC Research 
1.28 pm , 15-03-2011,Reuters,Infosys CEO says staff in Japan returning to India  
10.39 am , 11-03-2011,Moneycontrol.com,Sell Infosys Fut between Rs 3130-3140: IIFL  
9.00 pm , 09-03-2011,CNBC-TV18,IT bids adieu to big hikes  
6.00 pm , 09-03-2011,CNBC-TV18,Infosys may slip further if it breaks Rs 2950 levels: Bala  
5.59 pm , 08-03-2011,CNBC-TV18,"Infosys, HCL, TCS top picks in IT sector: Seth   "
2.20 pm , 08-03-2011,CNBC-TV18,Hemang Jani positive on IT space  
