"date","weighted","close","high","low","open","volume"
"2015-04-09","243.32","243.32","246.22","237.62","244.57","16846896.21"
"2015-04-10","234.73","234.73","244.11","231.3","243.32","23728422.4"
"2015-04-11","236.48","236.48","240","233.12","234.73","12319489.65"
"2015-04-12","235.85","235.85","237.52","232.27","236.48","7814533.91"
"2015-04-13","223.59","223.59","236.75","220.36","235.85","23982950.79"
"2015-04-14","217.99","217.99","224.72","214.27","223.59","25315606.19"
"2015-04-15","222.97","222.97","223.56","217.15","217.99","17099352.43"
"2015-04-16","227.98","227.98","229.53","222.87","222.97","19315044.09"
"2015-04-17","222.59","222.59","229.28","220.56","227.98","15015559.02"
"2015-04-18","223.35","223.35","224.47","220.57","222.59","8152434.69"
"2015-04-19","223.02","223.02","226.94","221.96","223.35","7984589.44"
"2015-04-20","224.24","224.24","226.72","221.58","223.02","10082693.46"
"2015-04-21","233.73","233.73","235.27","223.29","224.24","15658818.31"
"2015-04-22","233.78","233.78","238.4","231.8","233.73","18280060.34"
"2015-04-23","235.4","235.4","236.12","232.58","233.78","9982620.64"
"2015-04-24","231.09","231.09","236.55","229.06","235.4","16221169.24"
"2015-04-25","226.14","226.14","232.29","223.05","231.09","10015666.23"
"2015-04-26","218.7","218.7","226.72","214.14","226.14","22088733.35"
"2015-04-27","228.96","228.96","242.65","216.6","218.7","27696437.64"
"2015-04-28","225.81","225.81","229.87","222.03","228.96","14896418.52"
"2015-04-29","225.42","225.42","227.24","222.25","225.81","13743340.35"
"2015-04-30","235.77","235.77","240.01","224.68","225.42","26242196.77"
"2015-05-01","233.21","233.21","239.42","232.38","235.77","14178420.18"
"2015-05-02","235.34","235.34","236.38","231.73","233.21","8703582.59"
"2015-05-03","239.99","239.99","243.58","233.8","235.34","13389153.76"
"2015-05-04","238.97","238.97","243.2","237.45","239.99","16599243.56"
"2015-05-05","235.82","235.82","239.61","231.78","238.97","18333196.41"
"2015-05-06","230.03","230.03","237.15","228.24","235.82","24127653.28"
"2015-05-07","237.73","237.73","240.25","228.33","230.03","21315971.39"
"2015-05-08","243.74","243.74","247.01","235.77","237.73","21226000.84"
"2015-05-09","241.4","241.4","247.87","238.52","243.74","15281109.27"
"2015-05-10","239.96","239.96","244.82","238.23","241.4","10634289.99"
"2015-05-11","241.81","241.81","243.95","238.86","239.96","13819530.94"
"2015-05-12","241.58","241.58","243","239.18","241.81","9712214.4"
"2015-05-13","236.38","236.38","243.91","234.07","241.58","20329395.15"
"2015-05-14","236.9","236.9","239.17","232.36","236.38","16833656.66"
"2015-05-15","237.2","237.2","238.83","235.53","236.9","10932777.42"
"2015-05-16","236.23","236.23","237.78","234.57","237.2","6415070.12"
"2015-05-17","236.3","236.3","237.77","235.35","236.23","6738302.37"
"2015-05-18","232.64","232.64","237.1","231.46","236.3","12516261.2"
"2015-05-19","232.02","232.02","234.5","231.27","232.64","9550029.29"
"2015-05-20","233.96","233.96","235.17","231.47","232.02","11626735.04"
"2015-05-21","235.38","235.38","236.65","233.61","233.96","10114419.29"
"2015-05-22","240.37","240.37","242","234.56","235.38","17630641.48"
"2015-05-23","238.94","238.94","241.73","238.05","240.37","8659651.42"
"2015-05-24","240.98","240.98","242.39","237.48","238.94","7278251.72"
"2015-05-25","237.41","237.41","241.79","235.81","240.98","6301300.86"
"2015-05-26","237.84","237.84","238.99","235.58","237.41","8842430.86"
"2015-05-27","237.29","237.29","238.95","235.89","237.84","11445501.96"
"2015-05-28","237.32","237.32","238.41","236.23","237.29","8508673.17"
"2015-05-29","237.03","237.03","237.89","235.13","237.32","9241377"
"2015-05-30","233.22","233.22","237.06","231.59","237.03","9738568.03"
"2015-05-31","229.84","229.84","233.99","229.13","233.22","9036624.56"
"2015-06-01","223.14","223.14","231.76","220.97","229.84","19658919.58"
"2015-06-02","225.74","225.74","227.44","222.25","223.14","13666049.75"
"2015-06-03","225.59","225.59","227.86","223.69","225.74","12279838.72"
"2015-06-04","224.22","224.22","226.71","223.49","225.59","9934190.66"
"2015-06-05","225.29","225.29","226.36","222.15","224.22","12703848.43"
"2015-06-06","224.74","224.74","225.76","223.53","225.29","5074897.56"
"2015-06-07","223.47","223.47","226.36","222.21","224.74","9097310.34"
"2015-06-08","228.57","228.57","229.91","222.99","223.47","16824026.1"
"2015-06-09","229.56","229.56","231.36","227.51","228.57","12617632.43"
"2015-06-10","228.79","228.79","230.44","227.84","229.56","9556657.69"
"2015-06-11","229.88","229.88","230.64","228.54","228.79","8745318.46"
"2015-06-12","230.46","230.46","231.58","229.29","229.88","9406856.66"
"2015-06-13","232.48","232.48","233.14","229.01","230.46","8803491.08"
"2015-06-14","233.75","233.75","235.51","232.09","232.48","7700053.79"
"2015-06-15","237","237","238.55","233.29","233.75","15006949.33"
"2015-06-16","249.82","249.82","254.15","235.7","237","29956654.2"
"2015-06-17","247.38","247.38","258.48","245.09","249.82","30652977.32"
"2015-06-18","248.44","248.44","251.95","242.46","247.38","19421567.7"
"2015-06-19","244.13","244.13","250.81","243.65","248.44","20914718.44"
"2015-06-20","244.98","244.98","246.63","238.7","244.13","12470598.74"
"2015-06-21","244.1","244.1","246.03","240.94","244.98","6140997.64"
"2015-06-22","247.46","247.46","248.6","243.16","244.1","11713076.05"
"2015-06-23","243.76","243.76","247.67","242.32","247.46","9432470.15"
"2015-06-24","240.56","240.56","244.51","239.05","243.76","11415709.88"
"2015-06-25","242.56","242.56","243.65","239.32","240.56","9791297.92"
"2015-06-26","242.95","242.95","243.49","240.14","242.56","9112156.6"
"2015-06-27","250.73","250.73","251.57","241.83","242.95","13525813.79"
"2015-06-28","248.88","248.88","251.59","246.62","250.73","9955671.92"
"2015-06-29","256.97","256.97","257.54","247.96","248.88","23504772.6"
"2015-06-30","264.12","264.12","268.73","255.37","256.97","30621602.74"
"2015-07-01","257.62","257.62","265","254.41","264.12","17316801.19"
"2015-07-02","254.88","254.88","261.29","253.09","257.62","11560214.6"
"2015-07-03","255.4","255.4","256.71","252.44","254.88","9335969.35"
"2015-07-04","260.55","260.55","261.08","253.37","255.4","8502000.62"
"2015-07-05","270.14","270.14","274.14","257.61","260.55","12906220.27"
"2015-07-06","269.08","269.08","277.48","266.46","270.14","14242625.38"
"2015-07-07","266.21","266.21","271.34","263.21","269.08","11104556.73"
"2015-07-08","268.64","268.64","273.57","263.18","266.21","12157995.11"
"2015-07-09","269.14","269.14","272.31","265.13","268.64","13058350.83"
"2015-07-10","283.62","283.62","297.85","266.91","269.14","33254590.34"
"2015-07-11","291.97","291.97","298.76","282.28","283.62","13584989.4"
"2015-07-12","310.44","310.44","315.88","291.26","291.97","36866127.76"
"2015-07-13","290.35","290.35","310.88","276.85","310.44","42741263.66"
"2015-07-14","286.96","286.96","296.96","285.17","290.35","17635928.71"
"2015-07-15","283.42","283.42","292.92","283.17","286.96","17274148.89"
"2015-07-16","276.59","276.59","290.84","273.28","283.42","34155564.7"
"2015-07-17","279.62","279.62","280.76","271.17","276.59","17217352.98"
"2015-07-18","274.05","274.05","282.53","243.24","279.62","15358107.19"
